Id,Title,Author,Description,Rating,ISBN,ISBN13,Publish,URL
50735,A Knight's Vow,Lynn Kurland,"Set during the misty Middle Ages, when brave knights in shining armor rescued fair maidens and chivalry and honor were prized above all things, this quartet of novellas from some of the genre's best-known writers takes the concept of the vow and spins it into four very different yet thematically linked medieval tales.
Lynn Kurland - The Traveller (MacLeod #2.6)(de Piaget/MacLeod #7.5)
A bedraggled knight makes a solemn vow to protect, defend, and rescue any and all maidens in distress - even those from Manhattan...
Patricia Potter - The Minstrel
A vow to marry for love transforms a marquis into a minstrel who must sing for his supper - and for a woman whose heart is true...




Deborah Simmons - The Bachelor Knight
A forgotten vow comes back to haunt the greatest knight in all the land,when a fair maiden asks for hand in marriage...
Glynnis Campbell - The Siege
Trapped underground with his unwilling betrothed, a determined knight vows to free her - body and soul...",3.96,0515131512,9780515131512,September 1st 2001 by Jove Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388251819l/50735.jpg
50736,My Heart Stood Still,Lynn Kurland,"In a castle on the English moors, Iolanthe MacLeod dreams of a darkly handsome man to come rescue her. Centuries have passed, and she feels she's waited in vain. Thomas McKinnon is given the chance to restore the 12th century castle and finds the restless spirit of a medieval Scottish woman, who is so haunting he would do anything to make her his forever.",4.19,0425208699,9780425208694,May 3rd 2005 by Berkley Publishing (first published 2001),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922074l/50736.jpg
50740,The Very Thought of You,Lynn Kurland,"From Lynn Kurland, the New York Times bestselling author of the Nine Kingdom series.Alexander Smith had found success in the world of corporate takeovers—but not happiness. That had always escaped him...along with true love. Then, at the MacLeod Keep in Scotland, he found a pirate map that miraculously answered his yearnings—with a journey to another time. And when he was captured in Medieval England by Margaret of Falconberg, a fierce beauty hidden in knight's armor, he rediscovered his own chivalrous—and passionate—heart...",4.23,1568657536,9781568657530,1998 by Berkley Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430012859l/50740.jpg
50741,Veils of Time,Lynn Kurland,"Four women find the bridegrooms of their dreams in another time.....A Bride Most Common by Angie RayA time machine hurtled Lucy Taylor back in time to Regency England --- and into the middle of a wedding to a dashing gentleman! Could she change history to save her future, without falling in love with a handsome new husband?And the Groom Wore Tulle by Lynn Kurland. (MacLeod, #3). Scottish nobleman Ian Macleod falls asleep in a medieval dungeon --- and awakens in a room filled with long white dresses. Jane Fergusson longed to create great fashions, but instead toils in a bridal shop. Will their fateful meeting over dressmaker's shears lead to bloodshed or bliss?Conyn's Bride by Ingrid WeaverOn the eve of her wedding, museum curator Alanna Moore is cataloguing antiquities, when suddenly a Celtic warrior appears --- claiming to be her long-lost betrothed! Can she listen to her heart, and remember a love that was destined to be?The Con and the Crusader by Maggie ShayneFleeing thugs, con man Jack McCain jumps into a well --- and into the past. Mistaken for a criminal, he's headed for prison, until he's freed --- with a wedding proposal! The widow Hawkins marries him to get help for her farm, but the attraction between them makes Jack wish he'd never escape this sweet captivity. . .",4.03,0425169707,9780425169704,July 1st 1999 by Berkley Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313554040l/50741.jpg
50742,The Christmas Cat,Julie Beard,"Four heartwarming tales of Christmas cheer--and cats who play Cupid! These stories include: Julie Beard's ""My True Love Gave to Me"" in which a woman spends Christmas Eve searching for her black cat and finds a tall dark knightJo Beverley's ""A Gift of Light"" which tells of a tenacious tom courting a fiery feline at Christmas, as his master and her mistress follow suitBarbara Bretton's ""Home for the Holidays"" in which college sweethearts almost break up on Christmas Eve, but their wise old cat gets in the wayLynn Kurland's ""The Gift of Christmas Past"" in which a feline guardian angel has to pull his mistress back in time to a Christmas Eve long ago where she finds her own true love.",4.00,0425155420,9780425155424,November 1st 1996 by Berkley Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328389139l/50742.jpg
50743,Joseph Conrad's Heart of Darkness: A Casebook,Gene M. Moore,"Heart of Darkness, Joseph Conrad's fictional account of a journey up the Congo river in 1890, raises important questions about colonialism and narrative theory. This casebook contains materials relevant to a deeper understanding of the origins and reception of this controversial text, including Conrad's own story An Outpost of Progress, together with a little-known memoir by one of Conrad's oldest English friends, a brief history of the Congo Free State by Sir Arthur Conan Doyle, and a parody of Conrad by Max Beerbohm. A wide range of theoretical approaches are also represented, examining Conrad's text in terms of cultural, historical, textual, stylistic, narratological, post-colonial, feminist, and reader-response criticism. The volume concludes with an interview in which Conrad compares his adventures on the Congo with Mark Twain's experiences as a Mississippi pilot.",4.18,0195159969,9780195159967,"March 11th 2004 by Oxford University Press, USA (first published February 1st 2004)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920711l/50743.jpg
50746,The Rover,Joseph Conrad,"A novel of naval life in Napoleonic France. After forty years of piracy on Eastern seas, Citizen Peyrol returns to his native France, a country now ravaged and scarred by revolution and war. Looking for peace in which to end his days, he withdraws to a safe harbor in a remote farmhouse on Escampobar Peninsula, which looks out to the distant Mediterranean, where the lovely Arlette lives with her aunt and the revolutionary Scevola. But the arrival of young Lieutenant Real calls Peyrol once again to action in a mission of danger, patriotism and heroism. This was the last novel of Joseph Conrad, a Polish-born English novelist best known in his own time as a writer of sea stories. He is now more admired as a novelist of moral exploration and a master of narrative technique - a major 20th century novelist.",3.74,1410102831,9781410102836,May 1st 2003 by Fredonia Books (NL) (first published 1923),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347793528l/50746.jpg
50747,Light My Fire,Katie MacAlister,"Aisling Grey is juggling being a demon lord, a Guardian, and a wyvern's mate, even though she's keeping her distance from said wyvern, Drake, these days. But her presence is still required at a meeting of the green dragons. Since several attempts have been made on her life, Drake is sure to get protective of her. Which might not be a bad thing when war breaks out and all hell breaks loose--literally. ",4.12,,,November 7th 2006 by Penguin Group (USA),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182966l/50747.jpg
50748,The Last of the Red-Hot Vampires,Katie MacAlister,"Physicist Portia Harding’s life is grounded in facts. There’s nothing that can’t be explained by logic and science. Until she travels with her best friend to England—and accidentally summons an ethereal Virtue who bequeaths her gift of weather control to Portia…Now Portia’s walking around with a literal cloud over her head—and a heartstoppingly handsome maniac trying to kidnap her. But Theondre North is no run-of-the-mill maniac. He’s a nephilim—the son of a fallen angel—who needs Portia’s help to change his fate. Problem is, Portia’s down-to-earth attitude frustrates beings from both heavenly and hellish realms—and gets Theo turned into a vampire. But at least he has Portia to satisfy his newfound hungers—and possibly save his soul…",3.93,0451220854,9780451220851,April 3rd 2007 by Penguin Group (USA),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432332678l/50748._SY475_.jpg
50749,Fire Me Up,Katie MacAlister,Aisling Grey is back-and in more trouble than ever. She thought being a courier would be easy. It's not. She thought being a Guardian would come naturally. It doesn't. She thought she could get out of being a wyvern's mate. She can't. And she never thought she'd be irresistible to men. But she is.,4.12,0451214943,9780451214942,May 1st 2005 by Berkley Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388203644l/50749.jpg
50750,You Slay Me,Katie MacAlister,"The author of The Corset Diaries returns to the realm of the paranormal in this sexy, funny romance that pits Seattle-based Aisling Grey against Drake Vireo, a seriously handsome Parisian dragon in human form. In her job as courier, Aisling is to deliver a precious demonic artifact to a Mme. Deauxville in Paris, but she finds Madame freshly dead, surrounded by a circle of ash. The artifact is then stolen by the fast-talking Drake, who claims that Aisling is no mere courier but in fact a demon lord and his destined mate. Determined to play detective, Aisling summons up a demon only to find herself saddled with one, in the form of a slobbering Newfoundland who wants to go walkies. Drake wants to show her the way dragons mate, and then bodies seem to pile up all over Paris, making Aisling a corpse magnet and top suspect. It's going to take every screwy new ally she's got to solve this murder and adjust to her new life in a strange new world.",3.98,0451411528,9780451411525,September 7th 2004 by Berkley Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310496976l/50750.jpg
50751,Noble Intentions,Katie MacAlister,"Noble Britton had suffered greatly at the hands of his first wife, and he refused to fall into the same trap again. This time he intended to marry a quiet, biddable woman who would not draw attention to herself or cause scandal. Gillian Leigh's honest manner and spontaneous laughter attracted him immediately. It mattered little that she was accident-prone; he could provide the structure necessary to guide her.But unconventional to the tips of her half-American toes―toes that one of them was constantly tripping over―his new bride turned the tables on him, wreaking havoc on his orderly life. And worse, demanding he surrender his heart. Perpetually one step behind his beguiling spouse, Noble suffered a banged-up head, a black eye, and a broken nose before he realized Gillian had healed his soul and proved that their union was no heedless tumble, but the swoon of true love.",3.82,0843949651,9780843949650,February 1st 2005 by Leisure Books (first published February 1st 2002),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388265921l/50751.jpg
50752,The Trouble With Harry,Katie MacAlister,"1. He is Plum's new husband. Not normally a problem, but when you consider that Harry advertised for a wife, and Plum was set to marry his secretary, there was cause for a bit of confusion. 2. He has a title. Plum has spent the last twenty years hiding from the ton, and now Harry wants her to shine in society? Horrors! 3. He doesn't know about her shocking secret. How is she going to explain about the dead husband who isn't a husband . . . and who now seems to be alive again? 4. He's fallen in love with her. And yet, the maddening man refuses to confide in her. For Plum knows the real trouble with Harry is that he's stolen her heart.",3.80,0843951443,9780843951448,January 1st 2006 by Leisure Books (first published May 30th 2004),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438801961l/50752._SY475_.jpg
50753,Improper English,Katie MacAlister,"London on Three Kisses a DayBrandishing a loaf of French bread at a dishy detective wasn't how Alexandra Freemar had envisioned starting her stay in London. But the sassy American wasn't about to put up with any flak from the uptight--albeit gorgeous--Scotland Yard inspector who accused her of breaking and entering. She didn't have time to deal with this suspicious upstairs neighbor. She had two months to write the perfect romance novel--two months to prove that she could succeed as an author.Luckily, reserved Englishmen were not her cup of tea. Yet, one kiss told her Alexander Black might not be quite as proper as she'd thought. In fact, his lips could be classified as downright wicked, leaving Alix to wonder how far his talents extended. There was only one snag: The serious-minded gentleman wasn't interested in a mere summer fling. And while as a writer Alix knew every imaginable euphemism for the male member, as a woman she soon realized she had a lot to learn about love.rthijrg]ih",3.51,0505525178,9780505525178,March 1st 2003 by Love Spell (first published January 31st 2003),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388203624l/50753.jpg
50754,Noble Destiny,Katie MacAlister,"Dear Worthy Reader:I take quill in hand to warn you of the inaccurate picture hinted at in this very tome of my modest self. A poor widow, I returned to England eager to take my place in the ton, only to find myself shunned by all. My one choice was to marry again, and who can chastise me for picking a groom who combined those attributes—wealth, a title, and good looks—that would ensure my utter happiness.I know you will understand my frustration when Alasdair McGregor, the manly personification of those attributes, cruelly refused to be the answer to my problems. In fact, I was forced by Dare's obstinacy to take extreme action—the faulty codpiece that led to our marriage, the wedding that was literally a circus, and, of course, the time I shot Dare to cheer him up.Not even an annoyance such as the loss of Dare's fortune could stand between me and what I wanted most: the love of my husband. I am confident that you will disregard comments from those jealous ladies who refer to my having trapped Dare into an unwanted union, and instead look beneath the obvious to read the true story of our love.Most humbly yours,Lady Charlotte Collins",3.66,0843951435,9780843951431,May 6th 2003 by Leisure Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332832452l/50754.jpg
50755,Hard Day's Knight,Katie MacAlister,"Men in tights never looked so good. At least that's Pepper Marsh's first impression when she attends a jousting competition at the Rennaissance Faire in Ontario. An unemployed and unattached software engineer, Pepper has had enough of the computer geeks in her dating pool. She years for a man of yore. A man not afraid to stare death in the face ...and laugh at it. A man with a big lance...Pepper's cousin has promised to find her a knight in shining armor, on the condition that Pepper walk around in wench garb. With her mind on her embarrassingly revealing bodice, Pepper promptly steps into the path of an oncoming steed...and is rescued by sexy Englishman Walker McPhail. Once the wild man of jousting, Walker has let a brush with death keep him out of the ring. Though his emotions are clad in almost impenetrable armor, Pepper finds Walker infuriatingly sexy--and she's about to go medieval on his heart...",3.90,0451213866,9780451213860,January 4th 2005 by Signet (first published January 1st 2005),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309281948l/50755.jpg
50756,Even Vampires Get the Blues,Katie MacAlister,"Paen Scott is a Dark One: a vampire without a soul. And his mother is about to lose hers too if Paen can’t repay a debt to a demon by finding a relic known as the Jilin God in five days.Half-elf Samantha Cosse may have gotten kicked out of the Order of Diviners, but she’s still good at finding things, which is why she just opened her own private investigation agency.Paen is one of Sam’s first clients and the only one to set her elf senses tingling, which makes it pretty much impossible to keep their relationship on a professional level. Sam is convinced that she is Paen’s Beloved—the woman who can give him back his soul...whether he wants it or not.",4.03,045121823X,9780451218230,May 2nd 2006 by Berkley Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441844780l/50756._SY475_.jpg
50757,The Kinks: A Step-By-Step Breakdown of the Guitar Styles and Techniques of Dave and Ray Davies [With CD],Dave Rubin,"Signature Licks GuitarThis jam-packed book/CD pack will teach you the riffs and licks behind one of rock's most influential and enduring bands. It includes background information, extensive lessons, Dave and Ray Davies' transcribed licks and solos, a demonstration CD, and the history of The Kinks. Songs include: All Day and All of the Night * Come Dancing * Come On Now * Don't Forget to Dance * Lola * Rock 'N Roll Fantasy * Sleepwalker * Sunny Afternoon * (So) Tired of Waiting for You * Well Respected Man * You Really Got Me * and more.",4.33,0634018698,9780634018695,August 1st 2002 by Hal Leonard Publishing Corporation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348906822l/50757.jpg
50758,"The Kinks - All Day and All of the Night: Day-By-Day Concerts, Recordings and Broadcasts, 1961-1996",Doug Hinman,"(Book). This book tells the true story of The Kinks, one of the greatest pop bands of all time, through the facts about their daily professional lives as they wrote songs, appeared on stage, signed deals, performed for TV and radio stations, and made records in the studio. Author Doug Hinman lays out The Kinks' history in fascinating chronological detail, revealing new stories and fresh insights into the band started by brothers Ray and Dave Davies. Included in its 352 fact-packed pages are hundreds of photos, gig locations and on-the-spot reviews, detailed examinations of every known recording session, and thorough information about all the band's major record releases. This book is the result of Hinman's 20 years of deep research. He has been afforded personal recognition by the band members for his grasp of their history and has had their help and assistance in reconstructing this uniquely detailed story. ""(Hinman's) research ... takes popular music scholarship to a plateau of virtually unprecedented integrity."" Johnny Rogan, author of noted books on The Kinks, The Byrds, Neil Young and others",4.33,087930765X,9780879307653,January 1st 2004 by Backbeat Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924109l/50758.jpg
50762,"Wild Side Sex: The Book of Kink: Educational, Sensual, and Entertaining Essays",Midori,"Tired of standing on the sexual sidelines? Wonder what it's like to be a real kink adventurer? Let world famous Midori lead you into the thick of it. This new collection of smoldering wisdom and and frank essays explores the Wild Side of Sex, including these burning subjects: * Is Your Prospect a Proper Pervert' * Fetishism: Sex, Romance, and Ritual * The Heart of Erotic Humiliation * Finding the Power Femme This delightfully twisted new volume entertains and titillates as well as educates, an erotic personal adventure exposing Midori's most helpful and empowering secrets.",4.04,1881943224,9781881943228,August 1st 2005 by Daedalus Publishing Company (first published July 15th 2005),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347921146l/50762.jpg
50763,Kink: An Autobiography,Dave Davies,"In a raw and riveting, completely candid autobiography, Dave Davies, co-founder of the legendary, ever-popular English rock band The Kinks, delves into the turbulence of his own amazing life: sex, drugs, and rock and roll; his famous feuds with brother Ray; and an insider's life in the steamy center of the music scene. of photos.",3.62,0786882697,9780786882694,February 16th 1998 by Hyperion (first published 1996),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170371435l/50763.jpg
50764,The Kinks,Johnny Rogan,"A guide to the music of the Kinks. It seeks to examine every recorded song in the band's catalogue to date, and acts as a consumer's critical guide. Shaped like a CD box, it is designed to sit alongside the reader's existing CD collection.",4.23,0711963142,9780711963146,September 15th 1998 by Omnibus Press (first published 1984),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170371436l/50764._SX318_.jpg
50765,Oh Kojo! How Could You!,Verna Aardema,Retelling of a humorous Ashanti folktale relating how a young man named Kojo finally gets the better of the tricky Anansi.,3.78,0803704496,9780803704497,March 30th 1988 by Puffin Books (first published September 17th 1984),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226940362l/50765.jpg
50766,Oh Kojo! How Could You!,Verna Aardema,Retelling of a humorous Ashanti folktale relating how a young man named Kojo finally gets the better of the tricky Anansi.,3.78,0140546693,9780140546699,November 23rd 1993 by Puffin Books (first published September 17th 1984),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226940462l/50766.jpg
50767,The Trial of J.J. Rawlings: Echoes of the 31st December Revolution,Kojo Yankah, ,3.82,1564110397,9781564110398,June 1st 1992 by Nia Communications (first published 1986),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50768,Godhorse,Kojo Laing,"This collection of poetry, by one of Ghana's leading poets and novelists, looks at themes such as nature, love, death, politics and portraits of daily life.",4.00,043590552X,9780435905521,December 31st 1989 by Heinemann Educational Books (first published 1989),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266459743l/50768.jpg
50769,Kojo Griffin: New Work,Franklin Sirmans,"Cross a Saturday-night special with the Saturday-morning cartoons and you get a sense of the shady-sweet flavor of this Atlanta-based artist's paintings. Crayola-colored refugees from the toy chest--Teddy bears, elephants, and rag dolls--don human garb and star in ambiguous narratives laced with menace. A green horse holds a gun to the head of an orange bear while a blasa yellow doll checks his watch; a red elephant offers candy to a reticent purple bear cub in knee socks. Over all, Griffin gives us a sense of compassion, which is not to say hope, for his hapless menagerie. --The New Yorker This is the first catalog devoted to the work of Kojo Griffin, an up-and-coming artist whose work was featured in Freestyle at the Studio Museum in Harlem, New York.",5.00,0971384401,9780971384408,February 2nd 2002 by Mitchell-Innes & Nash (first published 2002),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170371450l/50769._SX318_.jpg
50770,Oh Kojo! How Could You!,Verna Aardema,Retelling of a humorous Ashanti folktale relating how a young man named Kojo finally gets the better of the tricky Anansi.,3.78,0803704496,9780803704497,March 30th 1988 by Puffin Books (first published September 17th 1984),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226940362l/50765.jpg
50771,The Kojo Hand,Tom Gatten,"A novel about a young woman's pursuit of her dreams through encounters with a wide range of characters - from advertising representatives to construction workers, and a scholar from Ghana with a calling to produce positive social change.",4.00,0759616159,9780759616158,October 2nd 2001 by Authorhouse (first published October 1st 2001),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348467374l/50771.jpg
50772,Kojo And The Hen Coop,Kweku Duodu Asumang,"Mainly for African primary schools, the Ready...Go series are second-level readers for early reading in English. This title is one of a collection of stories for very early readers either at school or at home. In these books: controlled language is designed to give confidence; illustrations provide visual cues; stories focus on experiences relevant to young children; and stories are taken from a range of cultural backgrounds. The series is divided into two levels of difficulty: go is for readers who are beginning to learn the past and future tenses.",0.00,0333798317,9780333798317,"January 1st 2001 by MacMillan Education, Limited",https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50773,"Oh, Kojo! How Could You!",Verna Aardema,Retelling of a humorous Ashanti folktale relating how a young man named Kojo finally gets the better of the tricky Anansi.,3.78,0333464745,9780333464748,June 23rd 1988 by Pan Macmillan (first published September 17th 1984),https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
50775,Selected Tales and Sketches,Nathaniel Hawthorne,"Librarian Note: 31 Selections; Alternate cover edition of ISBN 9780140390575The short fiction of a writer who helped to shape the course of American literature. With a determined commitment to the history of his native land, Nathaniel Hawthorne revealed, more incisively than any writer of his generation, the nature of a distinctly American consciousness. The pieces collected here deal with essentially American matters: the Puritan past, the Indians, the Revolution. But Hawthorne was highly – often wickedly – unorthodox in his account of life in early America, and his precisely constructed plots quickly engage the reader’s imagination. Written in the 1820s, 30s, and 40s, these works are informed by themes that reappear in Hawthorne’s longer works: The Scarlet Letter, The House of the Seven Gables and The Blithedale Romance. And, as Michael J. Colacurcio points out in his excellent introduction, they are themes that are now deeply embedded in the American literary tradition.--back coverHollow of the Three HillsSir William PhipsMrs. HutchinsonWives of the DeadMy Kinsman, Major MolineuxRoger Malvin's BurialPassages from a Relinquished WorkMr. Higginbotham's CatastropheHaunted MindAlice Doane's AppealGray ChampionYoung Goodman BrownWakefieldNotch of the White MountainsAmbitious GuestMay-Pole of Merry MountMinister's Black VeilSunday at HomeMan of AdamantEndicott and the Red CrossNight SketchesLegens of the Province-HouseHall of FantasyBirthmarkEgotism; or the Bosom-SerpentChristmas BanquetCelestial RailroadEarth's HolocaustArtist of the BeautifulRappacini’s DaughterEthan Brand",4.03,,,1987 by Penguin Books (first published January 1st 1959),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170371552l/50775.jpg
50777,The House of the Seven Gables,Nathaniel Hawthorne,"The sins of one generation are visited upon another in a haunted New England mansion until the arrival of a young woman from the country breathes new air into mouldering lives and rooms. Written shortly after The Scarlet Letter, The House of the Seven Gables re-addresses the theme of human guilt in a style remarkable in both its descriptive virtuosity and its truly modern mix of fantasy and realism.",3.45,0158287037,9780158287034,August 1st 2001 by North Books (first published March 1851),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489383735l/50777._SX318_.jpg
50778,The Scarlet Letter,Nathaniel Hawthorne,"Set in 17th-century Puritan New England, this story of illicit passion, guilt and punishment revolves around the beautiful and mysterious Hester Prynne. She is condemned to wear a scarlet letter as a sign of her adultery, and it has a strange and disturbing effect upon those around her--neighbours, husband, lover and child. Cambridge Literature is a series of study texts which presents writing in the English-speaking world from the 16th century up to the present day. The series includes novels, drama, short stories, poetry, essays and other types of non-fiction. Each edition has the complete text with an appropriate glossary. The student will find in each volume a helpful introduction and a full section of resource notes encouraging active and imaginative study methods.",3.42,0521567831,9780521567831,February 13th 1997 by Cambridge University Press (first published March 16th 1850),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170371553l/50778.jpg
50779,Twenty Days with Julian and Little Bunny by Papa,Nathaniel Hawthorne,"On July 28, 1851, Nathaniel Hawthorne's wife Sophia and daughters Una and Rose left their house in Western Massachusetts to visit relatives near Boston. Hawthorne and his five-year-old son Julian stayed behind. How father and son got along over the next three weeks is the subject of this tender and funny extract from Hawthorne's notebooks.""At about six o'clock I looked over the edge of my bed and saw that Julian was awake, peeping sideways at me."" Each day starts early and is mostly given over to swimming and skipping stones, berry-picking and subduing armies of thistles. There are lots of questions (""It really does seem as if he has baited me with more questions, references, and observations, than mortal father ought to be expected to endure""), a visit to a Shaker community, domestic crises concerning a pet rabbit, and some poignant moments of loneliness (""I went to bed at about nine and longed for Phoebe""). And one evening Mr. Herman Melville comes by to enjoy a late-night discussion of eternity over cigars.With an introduction by Paul Auster that paints a beautifully observed, intimate picture of the Hawthornes at home, this little-known, true-life story by a great American writer emerges from obscurity to shine a delightful light upon family life--then and now.",4.04,1590170423,9781590170427,May 31st 2003 by New York Review of Books (first published 1851),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388377980l/50779.jpg
50782,Awakening the Heroes Within: Twelve Archetypes to Help Us Find Ourselves and Transform Our World,Carol S. Pearson," A program for activating and applying Pearson's twelve archetypes to aid inner development and the quest for wholeness""The heroic quest is about saying 'yes' to yourself and in so doing, becoming more fully alive and more effective in the world.... The quest is replete with dangers and pitfalls, but it offers great rewards: the capacity to be successful in the world, knowledge of the mysteries of the human soul, and the opportunity to find and express your unique gifts in the world.""In this bold and original work, Carol S. Pearson shows that the heroic quest isn't just for certain people under special circumstances. Exploring the many heroic paths available to each of us, at every point in our lives, her innovative program enables us to live heroically by activating and applying twelve archetypes in our lives.This companion to the bestselling The Hero Within outlines twelve archetypal patterns that can aid inner development and the quest for wholeness.These archetypes are inner guides that can help us prepare for the journey, by learning how to become successful members of society; embark upon the quest, by becoming initiated into the mysteries of the human soul; and return to transform our lives as a result of claiming our uniqueness and personal power.Writing for individuals seeking to realize their full potential and professionals engaged in empowering others, Pearson shows how journeys differ by the age, gender, and cultural background of the seeker, and how archetypes help awaken the capacities of our psyches. A unique diagnostic test, the Heroic Myth Index, and exercises are included to help us understand and awaken our inner guides.AuthorBiography: Carol S. Pearson, Ph.D., is the author of many bestselling and respected works on archetypes, including Awakening the Heroes Within. She is president of CASA: The Center for Archetypal Studies and Applications and is the senior editor of The Inner Edge: A Resource for Enlightened Business Practice.",4.19,0062506781,9780062506788,October 13th 2015 by HarperOne (first published July 1991),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444886382l/50782._SX318_.jpg
50784,The Corset Diaries,Katie MacAlister,"No woman in her right mind would consent to wearing a corset for a month. Especially a ""skinny-challenged"" woman like Tessa. But dreams of being debt-free dance in her head at the offer of appearing in a reality TV show. ""A Month in the Life of a Victorian Duke"" is about real people pretending to live on an English estate, circa 1879. And Tessa's leading man-a real-life Duke-is so handsome she can barely breathe, with or without the corset...",3.72,0451411129,9780451411129,May 4th 2004 by NAL,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182957l/50784.jpg
50785,Sex and the Single Vampire,Katie MacAlister,"An undying classic from Katie MacAlister, Sex and the Single Vampire is a paranormal romance lover’s delight, ideal for fans of Lynsay Sands and her Argeneau vampire family novels. This perennial New York Times bestselling author knows what readers are hungry for: sexy and funny tales of otherworldly passion featuring hot, dark, immortal alpha heroes searching for their happily forever afters. In Sex and the Single Vampire, MacAlister’s Dark One is an arrogant, studly romance novelist whom struggling “summoner” Alie mistakes for a specter…and recognizes as the fantasy man who has lately been invading her dreams!",3.98,0505525542,9780505525543,March 1st 2004 by Love Spell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920486l/50785.jpg
50786,Men in Kilts,Katie MacAlister,"She crossed the pond and lost her heart…What do they wear under those things?So far, Kathie Williams has made a good showing as the only American at a mystery writers’ conference in Manchester— what with that falling asleep in public thing behind her.The sight of Iain MacLaren wakes her up. Clad in a deliciously woolly sweater, the burly Scotsman seems to be holding up a wall at the cocktail party. So Kathie makes her move…and winds up stark naked with him in bed, where his thick Scottish brogue, thick manly chest, and thick… other parts…drive her to do things she’s never done before. Like fall in love.And if things aren’t moving fast enough—and on the wrong side of the road, no less—Kathie is about to visit Iain’s sheep farm in the Scottish Highlands and meet his sons. She’s feeling a wee bit nervous. Because she can’t tell where this mad affair is going—except north…",3.71,0451411137,9780451411136,October 7th 2003 by Onyx,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388208114l/50786.jpg
50787,Just One Sip,Katie MacAlister,"From a Moravian Dark One who must take on zombies and an angst-ridden teenage vampire to win the love of his soul mate, to a sunbathing vampire who finds the woman of his dreams in Vegas, this hilarious collection of paranormal romances celebrates the lives and loves of the immortal undead.Contains ""Viva Las Vampires"" by Jennifer Ashley, ""Bring Out Your Dead"" by Katie MacAlister, and ""Lucy and the Crypt Casanova"" by Minda Webber.",3.89,050552659X,9780505526595,October 1st 2006 by Love Spell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388286501l/50787.jpg
